Product Name,Price (₹),Features,Category
Smart Doorbell RingMate,7999,"HD camera, two-way audio, motion alerts",Home & Living
Kitchen Chimney SmokeFree,12999,"Auto-clean, touch control, 1200 m³/hr suction",Kitchen
Water Purifier PureGuard,10999,"RO+UV+UF, 7L tank, mineralizer",Home Appliances
Vacuum Cleaner Handheld,5999,"Cordless, 40 min runtime, lightweight",Home Appliances
Men’s Leather Wallet Slim,999,"Genuine leather, RFID protected, 6 card slots",Fashion
Women’s Earrings Sparkle,1299,"Sterling silver, cubic zirconia, lightweight",Fashion
Fitness Treadmill RunX,34999,"2HP motor, foldable, 12 programs",Sports
Elliptical Cross Trainer,24999,"Magnetic resistance, LCD display, 8 levels",Sports
Camping Tent 4-Person,5999,"Waterproof, easy setup, lightweight",Travel
Sleeping Bag WarmX,2499,"Comfortable, all-weather, compact",Travel
Electric Scooter GlideX,49999,"80km range, lithium battery, foldable",Automotive
Smart Helmet RideSafe,3999,"Bluetooth, hands-free calls, LED lights",Automotive
Car Air Purifier DriveFresh,3499,"HEPA filter, USB powered, compact",Automotive
Board Game StrategyX,1999,"2–6 players, family-friendly, ages 8+",Toys
Musical Keyboard PlayPro,9999,"61 keys, recording function, USB support",Toys
Acoustic Guitar MelodyX,5999,"Wooden body, 6-string, gig bag included",Music
Smart Scale FitTrack,2499,"Body fat analyzer, BMI tracking, app sync",Fitness
Protein Supplement Pack,3999,"1kg whey protein, chocolate flavor",Health
Herbal Tea Set,1299,"5 flavors, organic ingredients, 100 tea bags",Food & Beverages
Non-stick Frying Pan 28cm,1499,"Aluminum body, induction compatible, PFOA free",Kitchen
Rice Cooker AutoCook 2L,2999,"Automatic cooking, keep-warm function",Kitchen
Water Bottle SteelMate 1L,999,"Insulated, stainless steel, 24h hot/cold",Home & Living
Floor Lamp DecoLight,3499,"Modern design, adjustable height, LED bulb",Home & Living
Wall Clock Classic,1299,"Silent sweep, wooden frame, 12-inch diameter",Home & Living
